date_of,ctl_loading_date,quan,quan_no_weak_dub,quan_no_dub,agg_quan,agg_quan_no_week_dub,agg_quan_no_dub
2022-08-31,2022-08-31,456,431,422,456,431,422
2018-06-13,2021-08-27,24,23,23,450,435,399
2023-10-29,2023-10-29,458,430,424,458,430,424
2019-11-12,2019-11-12,471,450,441,471,450,441
2018-06-25,2018-06-26,463,450,433,463,450,433
2022-09-06,2022-11-12,16,16,16,495,465,444
2023-08-11,2023-08-16,360,339,334,458,429,424
2018-06-12,2018-06-12,496,482,463,496,482,463
2022-11-23,2022-11-23,458,430,424,458,430,424
2024-02-28,2024-02-28,458,429,424,458,429,424
2019-06-06,2019-06-06,470,452,440,470,452,440
2023-12-15,2023-12-15,458,430,424,458,430,424
2019-08-14,2019-08-14,458,447,428,458,447,428
2021-03-03,2021-03-03,437,416,411,437,416,411
2020-04-25,2020-04-25,458,438,430,458,438,430
2021-07-22,2021-07-22,440,419,412,440,419,412
2019-06-30,2019-06-30,491,479,458,491,479,458
2020-05-21,2020-05-21,448,429,420,448,429,420
2021-10-29,2021-10-29,424,406,399,424,406,399
2019-06-16,2019-06-16,475,461,445,475,461,445
2019-05-15,2019-05-15,457,438,428,457,438,428
2020-12-24,2020-12-24,437,419,411,437,419,411
2023-12-04,2023-12-04,454,426,420,454,426,420
2022-04-10,2022-04-10,475,444,440,475,444,440
2020-03-19,2020-03-19,458,441,430,458,441,430
2024-01-13,2024-01-13,458,429,424,458,429,424
2020-05-13,2020-05-13,485,464,452,485,464,452
2022-09-14,2022-09-14,458,428,424,458,428,424
2019-05-08,2019-05-13,420,402,394,420,402,394
2018-05-01,2018-05-01,449,435,420,449,435,420
2023-12-03,2023-12-03,456,426,422,456,426,422
2019-01-17,2019-01-17,458,442,428,458,442,428
2020-03-25,2020-03-25,458,438,430,458,438,430
2023-03-18,2023-03-18,458,430,424,458,430,424
2020-05-12,2020-05-12,201,196,196,201,196,196
2019-05-24,2019-05-24,466,451,436,466,451,436
2018-08-26,2018-08-26,459,442,429,459,442,429
2019-04-22,2019-04-22,434,416,407,434,416,407
2022-05-04,2022-05-04,429,408,402,429,408,402
2022-03-10,2022-03-10,476,449,441,476,449,441
2020-08-18,2020-08-20,458,435,430,458,435,430
2023-01-25,2023-01-25,435,410,404,435,410,404
2022-07-13,2022-07-15,437,413,408,437,413,408
2021-06-15,2021-06-15,481,455,445,481,455,445
2024-02-29,2024-02-29,424,399,393,424,399,393
2019-04-06,2019-04-06,458,438,429,458,438,429
2020-08-19,2020-08-20,482,463,450,482,463,450
2018-12-05,2018-12-05,458,443,428,458,443,428
2020-09-22,2020-09-22,430,410,404,430,410,404
2023-03-21,2023-03-21,458,431,424,458,431,424
2023-01-14,2023-01-14,478,452,443,478,452,443
2021-09-06,2021-09-08,458,435,427,458,435,427
2023-05-14,2023-05-14,494,466,458,494,466,458
2023-05-03,2023-05-03,492,462,456,492,462,456
2018-10-25,2018-10-25,460,446,430,460,446,430
2018-11-26,2018-11-26,452,435,423,452,435,423
2023-05-02,2023-05-02,458,430,424,458,430,424
2018-05-19,2018-05-19,458,442,428,458,442,428
2022-12-03,2022-12-03,470,441,436,470,441,436
2021-11-11,2021-11-13,463,438,431,463,438,431
2020-08-07,2023-11-14,33,32,32,495,466,433
2018-12-17,2018-12-17,449,438,420,449,438,420
2019-10-09,2019-10-09,421,407,396,421,407,396
2020-07-05,2020-07-05,458,436,429,458,436,429
2023-08-12,2023-09-16,25,25,25,483,444,424
2023-07-05,2023-07-05,458,430,424,458,430,424
2022-08-05,2022-08-05,458,430,424,458,430,424
2021-03-11,2021-03-11,458,436,429,458,436,429
2019-07-24,2019-07-24,458,445,428,458,445,428
2023-02-07,2023-02-07,458,429,424,458,429,424
2021-03-16,2021-03-16,436,413,410,436,413,410
2021-11-30,2021-11-30,458,436,426,458,436,426
2019-10-05,2019-10-05,489,468,457,489,468,457
2019-02-10,2019-02-10,496,479,462,496,479,462
2022-11-05,2022-11-05,493,465,457,493,465,457
2018-12-29,2018-12-29,458,443,428,458,443,428
2021-07-27,2021-07-27,453,433,424,453,433,424
2018-12-02,2021-11-20,7,7,7,497,478,458
2019-10-20,2019-10-20,493,467,461,493,467,461
2021-10-14,2021-10-14,465,441,432,465,441,432
2023-05-22,2023-05-22,458,430,424,458,430,424
2020-09-19,2020-09-19,495,471,460,495,471,460
2021-01-26,2021-01-26,464,441,435,464,441,435
2020-11-16,2020-11-16,454,430,426,454,430,426
2021-07-11,2021-07-11,481,451,445,481,451,445
2020-06-13,2020-06-13,481,458,449,481,458,449
2020-07-09,2020-07-11,458,436,429,458,436,429
2023-12-02,2023-12-04,309,291,287,481,451,446
2018-10-20,2018-10-20,420,406,393,420,406,393
2019-04-08,2019-04-08,458,445,429,458,445,429
2018-09-26,2018-09-26,458,444,428,458,444,428
2023-02-27,2023-02-27,426,400,397,426,400,397
2023-02-08,2023-02-08,484,456,448,484,456,448
2023-03-08,2023-03-08,458,432,424,458,432,424
2022-05-22,2022-05-22,431,410,404,431,410,404
2018-05-14,2018-05-14,443,434,414,443,434,414
2019-09-24,2019-09-24,494,472,462,494,472,462
2019-07-31,2019-07-31,493,473,460,493,473,460
2018-12-10,2018-12-10,490,472,457,490,472,457
2022-10-30,2022-10-30,458,434,424,458,434,424
2023-08-07,2023-08-07,439,415,406,439,415,406
2021-12-19,2021-12-19,489,460,453,489,460,453
2021-08-11,2021-08-11,469,448,436,469,448,436
2018-06-04,2018-06-04,483,470,450,483,470,450
2021-06-08,2021-06-10,490,463,454,490,463,454
2022-01-03,2022-01-03,458,434,426,458,434,426
2019-12-10,2019-12-10,459,440,430,459,440,430
2023-06-03,2023-07-31,22,22,22,455,420,400
2020-02-07,2020-02-07,496,471,462,496,471,462
2020-05-07,2020-05-10,451,428,423,451,428,423
2020-04-08,2020-04-08,458,439,430,458,439,430
2021-11-09,2023-11-17,62,59,59,485,442,398
2020-03-04,2020-03-04,449,430,421,449,430,421
2020-12-12,2020-12-12,489,465,454,489,465,454
2022-07-22,2022-07-22,430,409,403,430,409,403
2020-02-16,2022-02-16,18,18,18,483,458,436
2019-10-08,2021-09-23,22,21,21,496,470,444
2019-02-09,2019-02-09,458,440,429,458,440,429
2018-11-20,2018-11-20,483,466,451,483,466,451
2020-01-16,2020-01-16,441,425,414,441,425,414
2020-01-26,2020-01-26,458,442,430,458,442,430
2018-11-17,2022-11-15,20,20,20,478,462,428
2018-08-11,2018-08-11,494,480,462,494,480,462
2022-11-01,2022-11-01,458,432,424,458,432,424
2023-03-22,2023-03-22,438,408,405,438,408,405
2021-02-17,2021-02-17,458,436,429,458,436,429
2023-03-23,2023-03-23,461,434,427,461,434,427
2022-08-16,2022-08-16,462,434,428,462,434,428
2021-09-22,2021-09-22,470,445,436,470,445,436
2019-04-03,2019-04-03,429,418,403,429,418,403
2024-03-14,2024-03-14,422,396,391,422,396,391
2021-03-23,2021-03-23,420,398,394,420,398,394
2021-10-30,2023-11-25,33,32,32,452,418,394
2022-02-08,2022-02-08,459,436,427,459,436,427
2018-09-13,2018-09-13,442,433,414,442,433,414
2020-05-25,2020-05-25,458,439,429,458,439,429
2023-12-28,2023-12-28,458,428,424,458,428,424
2022-11-14,2022-11-14,458,432,424,458,432,424
2021-05-07,2021-05-07,458,436,429,458,436,429
2021-10-04,2021-10-06,458,433,427,458,433,427
2021-02-04,2021-02-04,491,468,455,491,468,455
2019-02-13,2019-02-14,483,464,452,483,464,452
2023-01-21,2023-01-21,423,400,395,423,400,395
2018-08-20,2018-08-20,477,462,445,477,462,445
2019-10-30,2019-10-30,458,440,429,458,440,429
2021-08-10,2021-08-10,486,458,450,486,458,450
2018-06-14,2018-06-14,458,442,428,458,442,428
2022-12-15,2022-12-15,446,419,412,446,419,412
2022-02-27,2022-02-27,467,438,432,467,438,432
2018-08-23,2018-08-23,471,457,440,471,457,440
2023-11-16,2023-11-16,429,405,398,429,405,398
2023-07-17,2023-07-17,493,463,457,493,463,457
2023-05-31,2023-05-31,426,400,395,426,400,395
2021-08-30,2021-08-30,427,406,401,427,406,401
2022-06-07,2022-06-07,494,465,458,494,465,458
2019-09-22,2019-09-22,469,451,440,469,451,440
2022-05-09,2022-05-09,445,422,416,445,422,416
2020-07-14,2020-07-14,463,441,433,463,441,433
2018-08-04,2018-08-04,462,449,432,462,449,432
2019-03-11,2019-03-12,441,425,413,441,425,413
2019-03-30,2019-03-30,462,443,432,462,443,432
2019-06-05,2019-06-05,467,450,437,467,450,437
2019-01-04,2019-01-04,428,422,400,428,422,400
2023-04-07,2023-04-07,428,402,397,428,402,397
2023-04-20,2023-04-20,428,404,397,428,404,397
2020-07-11,2020-07-11,452,432,424,452,432,424
2020-11-29,2020-11-29,495,473,459,495,473,459
2020-03-11,2020-03-12,443,426,415,443,426,415
2021-10-24,2021-10-24,472,448,437,472,448,437
2019-09-21,2019-09-21,492,474,460,492,474,460
2019-05-25,2019-05-25,458,442,429,458,442,429
2021-07-01,2021-07-01,486,460,450,486,460,450
2018-10-07,2018-10-07,458,442,428,458,442,428
2022-03-30,2022-04-01,488,461,452,488,461,452
2021-05-11,2021-05-11,472,446,439,472,446,439
2022-01-24,2022-01-24,460,436,428,460,436,428
2018-07-22,2018-07-22,483,465,451,483,465,451
2024-02-11,2024-02-11,458,430,424,458,430,424
2020-04-16,2020-04-16,467,444,437,467,444,437
2021-03-04,2021-03-04,449,427,421,449,427,421
2023-06-20,2023-06-20,496,465,460,496,465,460
2021-04-11,2021-04-11,442,420,415,442,420,415
2021-02-07,2023-01-17,25,25,25,492,466,437
2018-04-20,2018-04-20,458,446,428,458,446,428
2020-10-15,2020-10-15,458,438,430,458,438,430
2021-05-08,2021-05-08,449,428,420,449,428,420
2020-08-10,2020-08-10,458,439,430,458,439,430
2018-05-12,2018-05-12,463,453,433,463,453,433
2020-05-30,2020-05-30,472,451,441,472,451,441
2018-08-13,2018-08-13,465,455,435,465,455,435
2019-05-22,2019-05-22,458,439,429,458,439,429
2020-06-05,2020-06-05,477,456,446,477,456,446
2020-02-21,2020-02-21,468,449,439,468,449,439
2023-01-26,2023-01-26,487,457,451,487,457,451
2022-04-02,2022-04-02,494,466,458,494,466,458
2022-01-17,2022-01-17,458,434,426,458,434,426
2018-11-14,2018-11-14,458,442,428,458,442,428
2023-05-09,2023-05-09,473,444,438,473,444,438
2022-04-24,2022-04-24,458,432,424,458,432,424
2019-08-19,2019-08-19,450,433,421,450,433,421
2020-04-21,2020-04-21,424,403,398,424,403,398
2018-12-08,2018-12-08,427,414,399,427,414,399
2020-08-29,2020-08-29,485,463,452,485,463,452
2023-04-11,2023-04-11,490,463,454,490,463,454
2022-08-24,2023-03-16,42,42,42,496,457,420
2019-07-19,2019-07-19,440,424,412,440,424,412
2020-04-14,2020-04-14,421,402,396,421,402,396
2018-09-29,2018-09-29,495,480,462,495,480,462
2023-10-26,2023-10-26,445,418,411,445,418,411
2021-12-08,2021-12-08,447,425,418,447,425,418
2022-05-23,2022-05-23,444,421,415,444,421,415
2021-11-18,2021-11-18,421,398,396,421,398,396
2022-11-20,2022-11-20,435,412,405,435,412,405
2020-01-05,2020-01-05,458,439,429,458,439,429
2019-11-22,2019-11-22,479,457,447,479,457,447
2021-03-10,2021-03-10,445,421,418,445,421,418
2022-07-18,2022-07-18,456,428,422,456,428,422
2023-05-26,2023-05-26,477,451,442,477,451,442
2019-01-11,2019-01-11,478,464,446,478,464,446
2023-03-01,2023-03-01,464,437,430,464,437,430
2023-09-28,2023-09-28,434,409,402,434,409,402
2022-01-11,2022-01-11,479,452,444,479,452,444
2019-05-12,2019-05-12,443,426,415,443,426,415
2020-12-27,2020-12-27,469,446,439,469,446,439
2023-03-09,2023-03-09,451,424,417,451,424,417
2023-04-29,2023-04-29,474,443,439,474,443,439
2019-04-14,2019-04-14,458,441,429,458,441,429
2022-06-16,2022-06-16,465,438,431,465,438,431
2021-09-24,2021-09-24,451,428,422,451,428,422
2018-06-16,2018-06-16,461,451,432,461,451,432
2023-10-02,2023-10-02,445,416,411,445,416,411
2018-12-25,2018-12-25,456,444,426,456,444,426
2021-01-14,2021-01-14,430,411,404,430,411,404
2022-04-17,2022-04-17,458,429,424,458,429,424
2020-07-19,2020-07-19,470,453,439,470,453,439
2018-10-03,2018-10-03,458,444,428,458,444,428
2019-07-22,2019-07-22,427,411,400,427,411,400
2018-09-01,2018-09-01,458,443,428,458,443,428
2019-07-16,2019-07-16,451,434,423,451,434,423
2021-04-17,2021-04-17,458,435,429,458,435,429
2022-08-14,2022-08-17,357,338,331,458,432,424
2019-09-03,2019-09-03,428,414,402,428,414,402
2021-08-25,2021-08-25,476,446,440,476,446,440
2019-10-07,2019-10-07,428,409,402,428,409,402
2018-12-04,2022-11-15,1,1,1,496,476,462
2018-08-24,2018-08-24,472,463,441,472,463,441
2021-06-13,2021-06-13,434,414,408,434,414,408
2019-12-30,2019-12-30,433,416,406,433,416,406
2019-02-17,2019-02-17,458,442,429,458,442,429
2023-07-28,2023-07-28,458,429,424,458,429,424
2022-09-05,2022-09-05,469,442,435,469,442,435
2019-12-14,2019-12-14,455,438,426,455,438,426
2021-05-17,2021-05-17,458,435,429,458,435,429
2023-06-26,2023-06-26,458,432,424,458,432,424
2018-07-01,2018-07-01,471,460,441,471,460,441
2020-07-28,2020-07-28,458,437,429,458,437,429
2019-10-14,2019-10-14,458,444,429,458,444,429
2021-09-10,2021-09-10,446,421,417,446,421,417
2020-02-25,2020-02-25,462,444,434,462,444,434
2019-08-29,2019-08-29,458,441,429,458,441,429
2022-06-03,2022-06-03,458,432,425,458,432,425
2023-12-24,2023-12-24,458,430,424,458,430,424
2021-01-28,2021-01-28,436,418,410,436,418,410
2020-01-04,2020-01-04,458,435,429,458,435,429
2020-02-06,2020-02-06,458,439,430,458,439,430
2023-12-30,2024-03-06,22,22,22,478,438,422
2019-02-20,2019-02-20,458,447,429,458,447,429
2022-10-14,2022-10-14,487,460,451,487,460,451
2021-07-06,2021-07-06,447,424,418,447,424,418
2022-06-14,2022-06-14,451,425,420,451,425,420
2020-06-12,2020-06-12,433,412,406,433,412,406
2018-08-31,2018-08-31,473,458,442,473,458,442
2020-08-01,2020-08-01,497,475,461,497,475,461
2022-12-02,2022-12-02,435,408,404,435,408,404
2020-11-18,2020-11-18,430,410,404,430,410,404
2021-07-03,2021-07-03,458,436,428,458,436,428
2021-01-01,2021-01-01,443,421,417,443,421,417
2024-03-06,2024-03-06,476,448,441,476,448,441
2018-11-19,2018-11-20,459,443,429,459,443,429
2021-10-16,2021-10-16,458,433,427,458,433,427
2019-08-05,2019-08-05,496,477,463,496,477,463
2018-05-28,2018-05-29,458,445,428,458,445,428
2019-08-02,2019-08-02,462,443,432,462,443,432
2021-05-03,2021-05-03,485,459,449,485,459,449
2022-12-13,2023-02-10,19,19,19,441,412,395
2023-04-15,2023-04-15,469,440,435,469,440,435
2019-08-06,2019-08-06,424,406,398,424,406,398
2021-07-04,2021-07-04,458,432,428,458,432,428
2022-05-08,2022-05-08,444,418,415,444,418,415
2023-02-01,2023-02-01,458,431,424,458,431,424
2019-01-20,2019-01-20,485,473,453,485,473,453
2022-01-20,2022-01-20,458,437,426,458,437,426
2023-11-10,2023-11-10,478,450,443,478,450,443
2019-12-25,2019-12-25,458,440,429,458,440,429
2019-09-29,2021-08-24,22,21,21,486,463,435
2022-03-08,2022-03-08,447,423,417,447,423,417
2023-11-09,2023-11-09,485,453,449,485,453,449
2021-05-20,2021-05-20,445,421,417,445,421,417
2020-10-09,2020-10-09,460,439,431,460,439,431
2020-01-15,2020-01-15,472,458,442,472,458,442
2019-05-23,2019-05-23,478,462,448,478,462,448
2023-09-19,2023-09-19,458,431,424,458,431,424
2022-02-11,2022-02-11,455,433,423,455,433,423
2020-12-21,2020-12-21,431,412,405,431,412,405
2019-01-28,2019-01-28,456,439,427,456,439,427
2022-08-13,2022-08-13,471,444,436,471,444,436
2021-12-13,2021-12-13,458,435,426,458,435,426
2018-11-09,2018-11-09,466,457,436,466,457,436
2021-07-16,2021-07-18,458,433,427,458,433,427
2019-05-20,2019-05-20,484,467,453,484,467,453
2023-08-16,2023-08-16,458,429,424,458,429,424
2019-06-01,2019-06-01,430,414,403,430,414,403
2021-12-25,2021-12-25,479,452,444,479,452,444
2019-09-27,2019-09-27,458,440,429,458,440,429
2023-07-06,2023-07-06,458,428,424,458,428,424
2018-12-10,2019-07-05,5,5,5,495,477,457
2020-07-13,2020-07-13,434,414,407,434,414,407
2019-02-27,2019-02-27,465,450,434,465,450,434
2018-04-23,2018-04-23,458,445,428,458,445,428
2019-05-28,2019-05-28,450,435,422,450,435,422
2022-11-16,2022-11-16,430,407,401,430,407,401
2022-03-19,2022-03-19,448,423,418,448,423,418
2022-08-30,2022-08-30,420,398,393,420,398,393
2019-06-24,2019-06-24,458,444,428,458,444,428
2021-06-01,2021-06-01,458,437,429,458,437,429
2021-12-11,2021-12-11,458,433,426,458,433,426
2020-03-20,2020-03-20,458,437,430,458,437,430
2021-05-30,2021-05-30,472,447,439,472,447,439
2018-05-29,2018-05-29,458,443,428,458,443,428
2022-07-28,2022-07-28,472,445,437,472,445,437
2020-04-26,2020-04-26,449,430,421,449,430,421
2020-03-19,2022-10-27,4,4,4,462,445,430
2020-01-31,2020-01-31,458,440,430,458,440,430
2019-09-18,2019-09-18,458,439,429,458,439,429
2020-06-20,2020-06-20,437,418,409,437,418,409
2021-01-05,2021-01-05,426,406,400,426,406,400
2019-01-22,2019-01-22,458,442,428,458,442,428
2020-11-05,2020-11-07,458,438,429,458,438,429
2020-12-16,2020-12-17,454,432,426,454,432,426
2019-04-20,2019-04-20,458,440,429,458,440,429
2019-03-23,2019-03-23,482,466,451,482,466,451
2023-05-13,2023-05-13,458,431,424,458,431,424
2022-06-06,2022-06-06,435,414,408,435,414,408
2020-09-10,2020-09-10,481,455,450,481,455,450
2020-06-22,2020-06-22,480,455,448,480,455,448
2020-05-27,2020-05-27,458,439,429,458,439,429
2019-11-17,2019-11-18,458,442,429,458,442,429
2023-01-03,2023-01-03,442,415,409,442,415,409
